virtual mem: 62255,	physical mem: 23855,	 value: -53
virtual mem: 21793,	physical mem: 24097,	 value: 0
virtual mem: 26544,	physical mem: 24496,	 value: 0
virtual mem: 14964,	physical mem: 24692,	 value: 0
virtual mem: 41462,	physical mem: 25078,	 value: 40
virtual mem: 56089,	physical mem: 25113,	 value: 0
virtual mem: 52038,	physical mem: 25414,	 value: 50
virtual mem: 47982,	physical mem: 25710,	 value: 46
virtual mem: 59484,	physical mem: 25948,	 value: 0
virtual mem: 50924,	physical mem: 26348,	 value: 0
virtual mem: 6942,	physical mem: 26398,	 value: 6
virtual mem: 34998,	physical mem: 26806,	 value: 34
virtual mem: 27069,	physical mem: 27069,	 value: 0
virtual mem: 51926,	physical mem: 27350,	 value: 50
virtual mem: 60645,	physical mem: 7397,	 value: 0
virtual mem: 43181,	physical mem: 17581,	 value: 0
virtual mem: 10559,	physical mem: 27455,	 value: 79
virtual mem: 4664,	physical mem: 27704,	 value: 0
virtual mem: 28578,	physical mem: 28066,	 value: 27
virtual mem: 59516,	physical mem: 25980,	 value: 0
virtual mem: 38912,	physical mem: 3840,	 value: 0
virtual mem: 63562,	physical mem: 28234,	 value: 62
virtual mem: 64846,	physical mem: 2126,	 value: 63
virtual mem: 62938,	physical mem: 28634,	 value: 61
virtual mem: 27194,	physical mem: 28730,	 value: 26
virtual mem: 28804,	physical mem: 1412,	 value: 0
virtual mem: 61703,	physical mem: 22279,	 value: 65
virtual mem: 10998,	physical mem: 12534,	 value: 10
virtual mem: 6596,	physical mem: 29124,	 value: 0
virtual mem: 37721,	physical mem: 29273,	 value: 0
virtual mem: 43430,	physical mem: 29606,	 value: 42
virtual mem: 22692,	physical mem: 2980,	 value: 0
virtual mem: 62971,	physical mem: 28667,	 value: 126
virtual mem: 47125,	physical mem: 29717,	 value: 0
virtual mem: 52521,	physical mem: 29993,	 value: 0
virtual mem: 34646,	physical mem: 18006,	 value: 33
virtual mem: 32889,	physical mem: 4217,	 value: 0
virtual mem: 13055,	physical mem: 30463,	 value: -65
virtual mem: 65416,	physical mem: 30600,	 value: 0
virtual mem: 62869,	physical mem: 28565,	 value: 0
virtual mem: 57314,	physical mem: 30946,	 value: 55
virtual mem: 12659,	physical mem: 31091,	 value: 92
virtual mem: 14052,	physical mem: 31460,	 value: 0
virtual mem: 32956,	physical mem: 4284,	 value: 0
virtual mem: 49273,	physical mem: 8569,	 value: 0
virtual mem: 50352,	physical mem: 14000,	 value: 0
virtual mem: 49737,	physical mem: 31561,	 value: 0
virtual mem: 15555,	physical mem: 31939,	 value: 48
virtual mem: 47475,	physical mem: 32115,	 value: 92
virtual mem: 15328,	physical mem: 32480,	 value: 0
